A1 · Home                                             /
G2 · Editorial / trust standalone                     /about/
G2 · Editorial / trust standalone                     /about/methodology/
G2 · Editorial / trust standalone                     /about/network/
B2 · Card-grid sub-hub / index                        /accounting-systems/
D2 · Prose template (help/error + informational)      /accounting-systems/migration-planning/
B1 · Silo home hub                                    /accounting/
D2 · Prose template (help/error + informational)      /accounting/1099-preparation/
D2 · Prose template (help/error + informational)      /accounting/accounts-payable/
D2 · Prose template (help/error + informational)      /accounting/accounts-receivable/
D1 · Service / money page                             /accounting/advisory/
D1 · Service / money page                             /accounting/advisory/budgeting-forecasting/
D1 · Service / money page                             /accounting/advisory/business-performance-review/
D1 · Service / money page                             /accounting/advisory/cash-flow-management/
E1 · Long-form FAQ/guide (TOC sidebar)                /accounting/advisory/faq/
D1 · Service / money page                             /accounting/advisory/financial-strategy/
D1 · Service / money page                             /accounting/advisory/fractional-cfo/
D1 · Service / money page                             /accounting/advisory/kpi-reporting/
D2 · Prose template (help/error + informational)      /accounting/advisory/tax-planning/
B1 · Silo home hub                                    /accounting/bookkeeping/
D1 · Service / money page                             /accounting/bookkeeping/catch-up-bookkeeping/
D1 · Service / money page                             /accounting/bookkeeping/cleanup-bookkeeping/
E1 · Long-form FAQ/guide (TOC sidebar)                /accounting/bookkeeping/faq/
D1 · Service / money page                             /accounting/bookkeeping/monthly-bookkeeping/
D1 · Service / money page                             /accounting/chart-of-accounts-setup/
E1 · Long-form FAQ/guide (TOC sidebar)                /accounting/faq/
D1 · Service / money page                             /accounting/financial-statements/
D1 · Service / money page                             /accounting/industries/
D1 · Service / money page                             /accounting/industries/agency/
D1 · Service / money page                             /accounting/industries/amazon-sellers/
D1 · Service / money page                             /accounting/industries/auto-repair/
D1 · Service / money page                             /accounting/industries/construction/
D1 · Service / money page                             /accounting/industries/dental/
D1 · Service / money page                             /accounting/industries/ecommerce/
E1 · Long-form FAQ/guide (TOC sidebar)                /accounting/industries/faq/
D1 · Service / money page                             /accounting/industries/fitness/
D1 · Service / money page                             /accounting/industries/franchise/
D1 · Service / money page                             /accounting/industries/healthcare/
D1 · Service / money page                             /accounting/industries/home-services/
D1 · Service / money page                             /accounting/industries/landscaping/
D1 · Service / money page                             /accounting/industries/law-firm-trust-accounting/
D1 · Service / money page                             /accounting/industries/legal/
D1 · Service / money page                             /accounting/industries/manufacturing/
D1 · Service / money page                             /accounting/industries/nonprofit/
D1 · Service / money page                             /accounting/industries/professional-services/
D1 · Service / money page                             /accounting/industries/property-management/
D1 · Service / money page                             /accounting/industries/real-estate/
D1 · Service / money page                             /accounting/industries/restaurant/
D1 · Service / money page                             /accounting/industries/retail/
D1 · Service / money page                             /accounting/industries/saas/
D1 · Service / money page                             /accounting/industries/shopify-sellers/
D1 · Service / money page                             /accounting/industries/short-term-rentals/
D1 · Service / money page                             /accounting/industries/specialty-trades/
D1 · Service / money page                             /accounting/industries/trucking/
D1 · Service / money page                             /accounting/job-costing/
D1 · Service / money page                             /accounting/month-end-close/
D2 · Prose template (help/error + informational)      /accounting/new-business-setup/
D2 · Prose template (help/error + informational)      /accounting/online-bookkeeping/
D2 · Prose template (help/error + informational)      /accounting/outsourced-bookkeeping/
D1 · Service / money page                             /accounting/payroll-management/
D2 · Prose template (help/error + informational)      /accounting/profitability-analysis/
D1 · Service / money page                             /accounting/reconciliation-services/
D1 · Service / money page                             /accounting/sales-tax-compliance/
B1 · Silo home hub                                    /accounting/services/
D1 · Service / money page                             /accounting/services/controller-services/
D1 · Service / money page                             /accounting/services/outsourced-accounting/
D1 · Service / money page                             /accounting/services/virtual-accounting/
D2 · Prose template (help/error + informational)      /accounting/small-business-accounting/
D2 · Prose template (help/error + informational)      /accounting/speak-to-an-accountant/
D2 · Prose template (help/error + informational)      /accounting/startup-accounting/
B2 · Card-grid sub-hub / index                        /accounting/tax/
D2 · Prose template (help/error + informational)      /accounting/tax/irs-problem-resolution/
D2 · Prose template (help/error + informational)      /accounting/year-end-review/
D2 · Prose template (help/error + informational)      /app-stack/
B3 · Light listing hub                                /blog/
E4 · Blog article                                     /blog/5-signs-your-books-need-a-cleanup/
E4 · Blog article                                     /blog/bookkeeping-vs-accounting/
B3 · Light listing hub                                /blog/category/accounting/
B3 · Light listing hub                                /blog/category/ai-and-accounting/
B3 · Light listing hub                                /blog/category/bookkeeping/
B3 · Light listing hub                                /blog/category/business-finance/
B3 · Light listing hub                                /blog/category/partner-spotlight/
B3 · Light listing hub                                /blog/category/payroll/
B3 · Light listing hub                                /blog/category/quickbooks/
B3 · Light listing hub                                /blog/category/taxes/
E4 · Blog article                                     /blog/get-your-books-ready-for-tax-season/
E4 · Blog article                                     /blog/inside-the-techbrot-partner-program/
E4 · Blog article                                     /blog/profit-vs-cash-flow/
E4 · Blog article                                     /blog/quickbooks-online-vs-desktop-2026/
E4 · Blog article                                     /blog/w2-vs-1099-worker-classification/
E4 · Blog article                                     /blog/will-ai-replace-your-bookkeeper/
F1 · Conversion form endpoint                         /contact/
ZZ · Dev sample (preview-only, not shipped)           /dev/form-test/
ZZ · Dev sample (preview-only, not shipped)           /dev/sample-t-bofu/
ZZ · Dev sample (preview-only, not shipped)           /dev/sample-t-guide/
ZZ · Dev sample (preview-only, not shipped)           /dev/sample-t-hub/
ZZ · Dev sample (preview-only, not shipped)           /dev/sample-t-location/
ZZ · Dev sample (preview-only, not shipped)           /dev/sample-t-mofu/
B5 · Location national hub                            /find-an-accountant/
D3 · State pillar (t-location)                        /find-an-accountant/california/
D5 · State service child                              /find-an-accountant/california/ab5-worker-classification/
D5 · State service child                              /find-an-accountant/california/bookkeeping-services/
D7 · Location triage (honest-triage)                  /find-an-accountant/california/business-tax-problems/
B4 · Location sub-hub (cities/industries)             /find-an-accountant/california/cities/
D4 · City child                                       /find-an-accountant/california/cities/anaheim/
D4 · City child                                       /find-an-accountant/california/cities/bakersfield/
D4 · City child                                       /find-an-accountant/california/cities/fresno/
D4 · City child                                       /find-an-accountant/california/cities/long-beach/
D4 · City child                                       /find-an-accountant/california/cities/los-angeles/
D4 · City child                                       /find-an-accountant/california/cities/oakland/
D4 · City child                                       /find-an-accountant/california/cities/riverside/
D4 · City child                                       /find-an-accountant/california/cities/sacramento/
D4 · City child                                       /find-an-accountant/california/cities/san-diego/
D4 · City child                                       /find-an-accountant/california/cities/san-francisco/
D4 · City child                                       /find-an-accountant/california/cities/san-jose/
D5 · State service child                              /find-an-accountant/california/cleanup-bookkeeping/
B4 · Location sub-hub (cities/industries)             /find-an-accountant/california/industries/
D6 · Industry child                                   /find-an-accountant/california/industries/agency/
D6 · Industry child                                   /find-an-accountant/california/industries/construction/
D6 · Industry child                                   /find-an-accountant/california/industries/ecommerce/
D6 · Industry child                                   /find-an-accountant/california/industries/professional-services/
D6 · Industry child                                   /find-an-accountant/california/industries/real-estate/
D6 · Industry child                                   /find-an-accountant/california/industries/restaurant/
D5 · State service child                              /find-an-accountant/california/monthly-bookkeeping/
F2 · Pricing page                                     /find-an-accountant/california/pricing/
D5 · State service child                              /find-an-accountant/california/quickbooks-accountant/
D5 · State service child                              /find-an-accountant/california/quickbooks-cleanup/
D5 · State service child                              /find-an-accountant/california/quickbooks-error-fixes/
D5 · State service child                              /find-an-accountant/california/quickbooks-migration/
D5 · State service child                              /find-an-accountant/california/quickbooks-reconciliation/
D5 · State service child                              /find-an-accountant/california/quickbooks-setup/
D5 · State service child                              /find-an-accountant/california/quickbooks-training/
D5 · State service child                              /find-an-accountant/california/sales-tax-help/
D5 · State service child                              /find-an-accountant/california/small-business-accountant/
D7 · Location triage (honest-triage)                  /find-an-accountant/california/speak-to-a-proadvisor/
D7 · Location triage (honest-triage)                  /find-an-accountant/california/state-tax-notice-help/
D7 · Location triage (honest-triage)                  /find-an-accountant/california/urgent-bookkeeping/
D5 · State service child                              /find-an-accountant/california/virtual-bookkeeper/
D3 · State pillar (t-location)                        /find-an-accountant/florida/
D5 · State service child                              /find-an-accountant/florida/bookkeeping-services/
B4 · Location sub-hub (cities/industries)             /find-an-accountant/florida/cities/
D4 · City child                                       /find-an-accountant/florida/cities/fort-lauderdale/
D4 · City child                                       /find-an-accountant/florida/cities/fort-myers/
D4 · City child                                       /find-an-accountant/florida/cities/gainesville/
D4 · City child                                       /find-an-accountant/florida/cities/jacksonville/
D4 · City child                                       /find-an-accountant/florida/cities/lakeland/
D4 · City child                                       /find-an-accountant/florida/cities/miami/
D4 · City child                                       /find-an-accountant/florida/cities/orlando/
D4 · City child                                       /find-an-accountant/florida/cities/st-petersburg/
D4 · City child                                       /find-an-accountant/florida/cities/tallahassee/
D4 · City child                                       /find-an-accountant/florida/cities/tampa/
D4 · City child                                       /find-an-accountant/florida/cities/west-palm-beach/
D5 · State service child                              /find-an-accountant/florida/cleanup-bookkeeping/
D5 · State service child                              /find-an-accountant/florida/corporate-tax-help/
B4 · Location sub-hub (cities/industries)             /find-an-accountant/florida/industries/
D6 · Industry child                                   /find-an-accountant/florida/industries/construction/
D6 · Industry child                                   /find-an-accountant/florida/industries/healthcare/
D6 · Industry child                                   /find-an-accountant/florida/industries/hospitality/
D6 · Industry child                                   /find-an-accountant/florida/industries/marine/
D6 · Industry child                                   /find-an-accountant/florida/industries/professional-services/
D6 · Industry child                                   /find-an-accountant/florida/industries/real-estate/
D5 · State service child                              /find-an-accountant/florida/monthly-bookkeeping/
F2 · Pricing page                                     /find-an-accountant/florida/pricing/
D5 · State service child                              /find-an-accountant/florida/quickbooks-accountant/
D5 · State service child                              /find-an-accountant/florida/quickbooks-cleanup/
D5 · State service child                              /find-an-accountant/florida/quickbooks-error-fixes/
D5 · State service child                              /find-an-accountant/florida/quickbooks-migration/
D5 · State service child                              /find-an-accountant/florida/quickbooks-reconciliation/
D5 · State service child                              /find-an-accountant/florida/quickbooks-setup/
D5 · State service child                              /find-an-accountant/florida/quickbooks-training/
D5 · State service child                              /find-an-accountant/florida/sales-tax-help/
